station_id,station_name,latitude,longitude,city,state,country,operator,network,status,access_type,total_charging_points,avg_power_kw,max_power_kw,total_sessions,total_energy_kwh,avg_session_duration_minutes,avg_session_cost,weather_records_count,traffic_records_count,anomaly_count,last_session_date,created_at,updated_at
461631,"Pilot Travel Center #1019 - Orland, CA",39.75124799,-122.20874577,Orland,CA,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451073,2025-10-21T02:16:01.451073
461632,"Ionna - Willows, CA",39.52355562,-122.21196535,Williows,CA,United States,IONNA,,Planned For Future Date,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.45107,2025-10-21T02:16:01.45107
461715,BP Express Stop,42.26772442,-84.45320382,Jackson,MI,United States,Red E Charge,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451066,2025-10-21T02:16:01.451067
461733,Walmart,35.47023611,-95.53572033,Checotah,OK,United States,(Unknown Operator),,Operational,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.451063,2025-10-21T02:16:01.451064
461744,Sunset Pointe,38.8112445,-121.28523913,Rocklin,CA,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.45106,2025-10-21T02:16:01.45106
461750,Speedy Q,42.72034242,-82.73231597,New Baltimore,MI,United States,Red E Charge,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451057,2025-10-21T02:16:01.451057
461756,"Laguna Blvd, Elk Grove, CA",38.42294935,-121.41889587,Elk Grove,CA,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451053,2025-10-21T02:16:01.451054
461757,Dutch Bros Coffee,38.5631774,-121.38113376,Sacramento,CA,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.45105,2025-10-21T02:16:01.45105
461758,Bradville Square Shopping Center,38.55659688,-121.33426303,Sacramento,CA,United States,eVgo Network,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451046,2025-10-21T02:16:01.451046
461813,Culver's,45.63291495,-89.43208425,Rhinelander,WI,United States,ChargePoint,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451042,2025-10-21T02:16:01.451042
462098,Wawa Supercharger,38.13392236,-79.04433708,Staunton,VA,United States,Tesla (including non-tesla),,Operational,,0,,,0,,,,2,0,1,,2025-10-21T02:16:01.451037,2025-10-21T02:16:01.451037
462111,Shell - Novi,42.49111094,-83.51430654,Novi,MI,United States,Red E Charge,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451026,2025-10-21T02:16:01.451026
462127,Kimco-charlotte,35.16030907,-80.87590677,Charlotte,NC,United States,(Unknown Operator),,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451021,2025-10-21T02:16:01.451021
462225,IONNA Beaver Rechargery Relay,38.29227291,-112.64654849,Beaver,UT,United States,IONNA,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451016,2025-10-21T02:16:01.451016
462226,IONNA Raleigh Rechargery Relay,35.84159568,-78.57751219,Raleigh,NC,United States,IONNA,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.45101,2025-10-21T02:16:01.451011
462227,IONNA Middletown Rechargery Relay,39.43728879,-77.52915717,Middletown,MD,United States,IONNA,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.451005,2025-10-21T02:16:01.451005
462228,IONNA Kutztown Rechargery @ Sheetz,40.58243639,-75.708866,Kutztown,PA,United States,IONNA,,Operational,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.450999,2025-10-21T02:16:01.451
462269,Ionna Rechargery,38.74407396,-121.2778181,Roseville,CA,United States,IONNA,,Planned For Future Date,,0,,,0,,,,2,0,0,,2025-10-21T02:16:01.450991,2025-10-21T02:16:01.450993
469252,Lenexa Old Town Activity Center,38.95898846,-94.74154538,Lenexa,KS,United States,Tesla (including non-tesla),,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245253,2025-12-10T07:42:59.245253
469253,Lenexa Justice Center,38.95489401,-94.78549242,Lenexa,KS,United States,Tesla (including non-tesla),,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.24525,2025-12-10T07:42:59.24525
469374,Freewire Charging Station,39.98548248,-83.00390753,Columbus,OH,United States,(Unknown Operator),,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245246,2025-12-10T07:42:59.245247
469399,Elkhorn Shopping Center,38.69461723,-121.3611978,Sacramento,CA,United States,eVgo Network,,Planned For Future Date,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245243,2025-12-10T07:42:59.245243
469401,Dutch Bros,38.47561181,-121.4185743,Sacramento,CA,United States,IONNA,,Planned For Future Date,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245239,2025-12-10T07:42:59.24524
469403,1122 Frankford grand,37.415328,-122.076575,fishtown,PA,United States,(Unknown Operator),,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245236,2025-12-10T07:42:59.245236
469430,Bernal Plaza,37.23344502,-121.77467103,San Jose,CA,United States,eVgo Network,,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245232,2025-12-10T07:42:59.245232
469455,Polaris Bergland Township,46.59222416,-89.57231251,Bergland,MI,United States,(Unknown Operator),,Operational,,0,,,0,,,,18,0,18,,2025-12-10T07:42:59.245228,2025-12-10T07:42:59.245229
469499,Renewable Grid - Glen Cove Fast Charging,40.86583398,-73.63155013,Glen Cove,NY,United States,(Unknown Operator),,Operational,,0,,,0,,,,18,0,0,,2025-12-10T07:42:59.245225,2025-12-10T07:42:59.245225
469611,Dennys,47.43566569,-122.29675732,Seatac,WA,United States,Electric Era (US),,Planned For Future Date,,0,,,0,,,,18,0,14,,2025-12-10T07:42:59.245221,2025-12-10T07:42:59.245221
469612,"Dennys - Auburn, WA",47.30259018,-122.22622845,Auburn,WA,United States,Electric Era (US),,Planned For Future Date,,0,,,0,,,,18,0,14,,2025-12-10T07:42:59.245217,2025-12-10T07:42:59.245218
